Customer_i_Unique_ID,Customer_i_ID,Customer_i_Star_Rating,Customer_i_Comment,Customer_i_buying_influence,Customer_i_Date,product,category,price_dollars,star_ratings,total_ratings
B0BTKWY362-R1MTTVRFC0CN1U,R1MTTVRFC0CN1U,5.0,Builds on the original perfectly,2.0,2023-06-09,Star Wars Jedi: Survivor Standard - Origin PC [Online Game Code],video_games,45.49,4.1,5
B0BRRVHFTD-R1LECJBZVLDTX2,R1LECJBZVLDTX2,5.0,Long battery life…Awesome game collection,0.0,2023-10-23,"Handheld Game Console for Kids, Video Games Retro Hand Held Games Electronic Gaming Player 3.0'' Screen Built-in 258 Classic Games TV Output Rechargeable Arcade Games-Blue",video_games,32.59,4.1,81
B0BTHTY5NV-R1F09JV41NXZFI,R1F09JV41NXZFI,4.0,You Have To Take The Good With The Bad,2.0,2023-09-27,Starsand – PlayStation 4,video_games,14.99,4.1,23
B0C6NDYH6Z-RY1CGIBPHSIYN,RY1CGIBPHSIYN,1.0,Game won't copy to PS5 console,0.0,2023-10-21,Madden NFL 24 - PlayStation 5,video_games,45.69,4.4,400
B0C3KLVQG9-R2R00QO43GXK3,R2R00QO43GXK3,5.0,Son loves this game,1.0,2023-09-06,Super Mega Baseball 4 - Nintendo Switch,video_games,24.99,4.4,23
B0CGDKDDCV-R15E3EJ7P9AR32,R15E3EJ7P9AR32,5.0,This is the best emulation drive.,0.0,2023-09-24,"5T Retro Game Console HDD with 63139 Video Games, Emulator Console Preload Launchbox/Retrobat/Playnite Game System, 50 AAA PC Games, Win 8.1/10/11 Plug and Play, SATA 3 to USB 3.0, Up to 6GB/s",video_games,229.99,5.0,0
B0C91MLPNG-RQB1GLXLI6DWB,RQB1GLXLI6DWB,5.0,Great Sonic Game,0.0,2023-10-26,Sonic Superstars - Nintendo Switch,video_games,58.99,4.4,33
B0B6GTJLSG-R1L4K6NV3GBA72,R1L4K6NV3GBA72,5.0,Switch game case,0.0,2023-10-25,"FYY Nintendo Switch Game Case - Black Nintendo Switch Game Holder for Nintendo Switch Cartridge Case with 24 Game Card Slots & 24 Micro SD Card Slots, Switch Card Case- Hard Shell, Silicone Lining",video_games,7.85,4.3,290
1787393089-RV38GY6QMRR91,RV38GY6QMRR91,2.0,Expected more,2.0,2023-07-31,The 100 Greatest Retro Videogames: The Inside Stories Behind the Best Games Ever Made,video_games,22.17,4.7,204
B0CG2K6FRP-Unavailable,Unavailable,,Unavailable,,1677-09-21,The Walking Dead: Destinies - Xbox Series X,video_games,49.99,0.0,0
B099VMT8VZ-R1GXYRBHYC3FQH,R1GXYRBHYC3FQH,4.0,Good durability.,0.0,2023-10-26,Meta Quest 2 — Advanced All-In-One Virtual Reality Headset — 128 GB,video_games,299.0,4.7,85857
B09PBJ4KNG-R30SF3O9ESG40I,R30SF3O9ESG40I,1.0,Don’t buy it,0.0,2023-10-14,"Wireless Retro Game Console, Plug and Play Video Game Stick Built in 10000+ Games,9 Classic Emulators, 4K High Definition HDMI Output for TV with Dual 2.4G Wireless Controllers",video_games,42.99,3.5,551
